,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
354,30,0,25,2,4,3,2,3,4736,7,1,12,3,1,4,2,4,2,2,2,2
355,26,0,1,3,3,3,2,3,5296,1,0,17,3,1,8,3,3,8,7,7,7
356,42,0,2,4,1,2,2,4,6781,3,0,23,4,0,14,6,3,1,0,0,0
358,36,0,1,5,4,3,2,4,6653,4,0,15,3,0,7,6,3,1,0,0,0
359,36,0,3,4,1,2,3,4,9699,4,0,11,3,1,16,2,3,13,9,1,12
360,57,0,1,4,4,3,2,3,6755,2,0,11,3,0,15,2,3,3,2,1,2
361,40,0,10,4,4,4,1,3,2213,3,1,13,3,1,10,3,3,7,7,1,7
362,21,0,9,2,1,3,1,4,2610,1,0,24,4,0,3,3,2,3,2,2,2
364,37,0,10,3,3,3,1,1,3452,6,0,20,4,1,17,3,3,5,4,0,3
365,46,0,7,4,3,3,2,3,5258,2,0,14,3,0,7,2,4,1,0,0,0
367,50,0,10,3,4,2,3,4,10496,6,0,15,3,0,20,2,3,4,3,1,3
369,31,0,9,4,3,2,1,2,2657,0,1,16,3,0,3,5,3,2,2,2,2
371,29,0,23,3,4,3,1,4,2201,9,0,16,3,0,6,4,3,3,2,1,2
372,35,0,9,4,3,2,2,2,6540,9,0,19,3,0,10,5,3,1,1,0,0
373,27,0,1,2,4,3,1,2,3816,1,0,11,3,1,5,2,3,5,2,0,4
374,28,0,9,4,2,3,2,4,5253,1,0,16,3,0,7,1,3,7,5,0,7
375,49,0,7,3,2,2,3,3,10965,8,0,24,4,0,26,2,3,5,2,0,0
376,51,0,14,2,3,3,2,4,4936,4,0,11,3,1,18,2,2,7,7,0,7
377,36,0,2,3,4,3,1,3,2543,4,0,13,3,1,6,3,3,2,2,2,2
379,55,0,2,3,3,3,4,4,16659,2,1,13,3,0,30,2,3,5,4,1,2
380,24,0,10,4,4,3,2,3,4260,1,1,12,3,1,5,2,4,5,2,0,3
381,30,0,2,1,3,3,1,2,2476,1,0,18,3,1,1,3,3,1,0,0,0
383,22,0,11,3,1,3,1,2,2244,1,0,13,3,1,2,1,3,2,1,1,2
384,36,0,2,2,2,2,3,3,7596,1,0,13,3,2,10,2,3,10,9,9,0
386,37,0,14,3,4,3,1,1,3034,1,0,12,3,1,18,2,2,18,7,12,17
387,40,0,2,2,4,3,2,2,5715,7,0,12,3,2,8,5,3,5,4,1,3
388,42,0,1,4,2,3,1,1,2576,3,0,16,3,1,8,5,3,5,2,1,2
389,37,0,10,4,3,3,2,2,4197,2,1,12,3,0,18,2,2,1,0,0,1
390,43,0,12,3,1,2,4,2,14336,1,0,11,3,1,25,3,3,25,10,3,9
391,40,0,2,3,2,2,2,3,3448,6,0,22,4,1,20,3,3,1,0,0,0
392,54,0,5,2,1,3,5,1,19406,4,0,11,3,1,24,4,2,4,2,1,2
393,34,0,4,4,3,3,2,3,6538,9,0,15,3,1,6,3,3,3,2,1,2
394,31,0,7,2,2,3,2,1,4306,1,0,12,3,1,13,5,1,13,10,3,12
395,43,0,21,3,4,3,1,4,2258,7,0,20,4,1,8,1,3,3,2,1,2
396,43,0,8,4,3,3,2,3,4522,4,1,14,3,0,8,3,3,5,2,0,2
397,25,0,4,2,2,2,2,4,4487,1,1,11,3,0,5,3,3,5,4,1,3
398,37,0,25,5,2,3,2,3,4449,3,1,15,3,2,15,2,3,13,11,10,7
399,31,0,1,2,4,2,1,1,2218,1,0,12,3,1,4,3,3,4,2,3,2
400,39,0,1,1,2,3,5,3,19197,1,1,14,3,1,21,3,3,21,8,1,6
401,56,0,6,3,3,4,4,1,13212,9,0,11,3,3,36,0,2,7,7,7,7
402,30,0,12,3,2,3,2,3,6577,0,0,11,3,0,6,6,3,5,4,4,4
403,41,0,1,3,2,4,3,1,8392,1,0,16,3,1,10,2,3,10,7,0,7
404,28,0,17,2,3,3,2,1,4558,1,0,12,3,1,10,2,3,10,0,1,8
406,52,0,3,3,4,2,3,3,7969,2,1,14,3,0,28,4,3,5,4,0,4
407,45,0,10,2,1,3,1,4,2654,3,0,21,4,2,8,3,2,2,2,0,2
408,52,0,4,2,4,3,4,4,16555,2,0,13,3,0,31,2,1,5,2,1,4
409,42,0,29,2,1,3,2,3,4556,2,0,11,3,1,19,3,3,5,4,0,2
410,30,0,2,3,3,1,2,4,6091,2,0,20,4,0,11,2,3,5,4,0,2
411,60,0,7,3,1,3,5,1,19566,5,0,11,3,0,33,5,1,29,8,11,10
412,46,0,18,3,3,3,2,3,4810,2,0,14,3,1,19,5,2,10,7,0,8
413,42,0,28,4,4,2,2,4,4523,0,0,11,3,3,7,4,4,6,5,0,4
416,38,0,2,2,4,3,1,4,1702,1,1,23,4,1,1,3,3,1,0,0,0
417,40,0,2,4,3,3,5,3,18041,0,0,14,3,0,21,2,3,20,15,1,12
418,26,0,23,3,1,3,1,4,2886,1,0,22,4,2,3,3,1,3,2,0,2
419,30,0,3,3,3,3,1,4,2097,4,0,15,3,1,9,3,1,5,3,1,4
420,29,0,3,4,2,2,3,3,11935,1,0,18,3,0,10,2,3,10,2,0,7
423,30,0,22,4,3,3,3,1,8412,0,0,11,3,0,10,3,3,9,8,7,8
424,57,0,29,3,1,2,4,4,14118,3,0,12,3,1,32,3,2,1,0,0,0
425,50,0,29,4,2,2,4,3,17046,0,0,15,3,1,28,2,3,27,10,15,7
426,30,0,2,3,3,3,1,4,2564,0,0,14,3,0,12,2,2,11,7,6,7
427,60,0,28,3,3,2,3,1,10266,4,0,19,3,0,22,5,4,18,13,13,11
428,47,0,2,2,1,3,2,4,5070,5,0,13,3,3,20,2,3,5,0,0,4
429,46,0,2,3,1,3,4,3,17861,6,0,13,3,0,26,2,1,3,2,0,1
430,35,0,22,3,4,1,1,3,4230,0,0,15,3,0,6,2,3,5,4,4,3
431,54,0,8,4,3,3,2,3,3780,7,0,11,3,0,19,3,3,1,0,0,0
432,34,0,2,4,4,2,1,3,2768,3,0,12,3,1,14,3,3,7,3,5,7
433,46,0,10,3,3,2,3,4,9071,2,1,19,3,1,15,3,3,3,2,1,2
434,31,0,9,1,3,3,3,2,10648,1,0,25,4,1,13,6,4,13,8,0,8
437,30,0,7,1,4,3,1,2,2983,0,0,14,3,0,4,3,3,3,2,1,2
438,35,0,16,3,4,3,3,3,7632,4,1,12,3,0,10,2,3,8,7,0,0
441,42,0,5,2,2,3,1,3,2093,4,0,17,3,1,8,4,3,2,2,2,0
442,36,0,10,4,2,3,3,4,9980,1,0,14,3,0,10,3,2,10,3,9,7
444,48,0,2,5,2,3,2,4,4051,2,0,14,3,1,14,2,3,9,7,6,7
445,55,0,18,5,1,3,4,2,16835,3,0,23,4,0,37,2,3,10,9,7,7
446,41,0,10,2,4,3,2,4,6230,7,0,14,3,0,16,3,3,14,3,1,10
447,35,0,1,3,2,3,2,3,4717,9,0,11,3,0,15,2,3,11,9,6,9
448,40,0,6,3,2,3,4,3,13237,7,0,15,3,0,22,3,3,20,6,5,13
449,39,0,8,1,3,3,1,3,3755,1,0,11,3,1,8,3,3,8,3,0,7
450,31,0,2,1,2,3,2,4,6582,4,1,13,3,0,10,2,4,6,5,0,5
451,42,0,24,3,4,3,3,1,7406,1,1,21,4,1,10,5,2,10,9,5,8
452,45,0,2,3,4,3,2,2,4805,0,0,19,3,1,9,3,4,8,7,3,7
454,29,0,19,3,4,3,2,4,4262,4,0,12,3,2,8,2,4,3,2,1,2
455,33,0,1,5,1,4,4,3,16184,4,0,19,3,1,10,2,3,6,1,0,5
456,31,0,7,3,3,2,3,4,11557,9,0,21,4,1,10,3,2,5,4,0,1
458,40,0,28,3,3,1,3,1,10932,3,0,15,3,1,20,2,3,1,0,0,1
459,41,0,2,4,1,2,2,3,6811,2,1,17,3,0,10,3,3,8,7,0,7
460,26,0,29,2,1,3,2,3,4306,5,0,12,3,2,8,5,3,0,0,0,0
461,35,0,1,3,1,3,2,3,4859,1,0,16,3,0,5,3,3,5,4,0,3
462,34,0,21,4,4,4,2,4,5337,1,0,12,3,0,10,3,3,10,7,5,7
464,37,0,1,3,2,3,3,4,7491,4,0,17,3,0,12,3,4,6,5,1,2
465,46,0,18,1,1,3,3,3,10527,5,0,11,3,0,28,3,2,2,2,1,2
466,41,0,2,5,2,3,4,1,16595,7,0,16,3,1,22,2,3,18,16,11,8
467,37,0,9,4,1,3,3,2,8834,1,0,13,3,1,9,6,3,9,5,7,7
468,52,0,6,2,4,3,2,1,5577,3,1,12,3,2,18,3,3,10,9,6,9
470,24,0,24,3,4,3,1,4,2400,0,0,13,3,2,3,3,3,2,2,2,1
471,38,0,10,3,3,3,2,3,9824,3,0,19,3,1,18,4,3,1,0,0,0
472,37,0,1,4,2,3,2,2,6447,6,0,12,3,1,8,2,2,6,5,4,3
473,49,0,18,4,4,2,5,3,19502,1,1,17,3,1,31,5,3,31,9,0,9
474,24,0,23,3,2,4,1,4,2725,1,1,11,3,2,6,3,3,6,5,1,4
475,26,0,28,2,1,3,2,2,6272,1,0,20,4,2,6,5,4,5,3,1,4
476,24,0,17,2,4,2,1,2,2127,1,0,21,4,1,1,2,3,1,0,0,0
477,50,0,3,3,1,3,5,2,18200,1,0,11,3,1,32,2,3,32,5,10,7
478,25,0,13,1,2,3,1,3,2096,1,0,11,3,0,7,1,3,7,4,0,6
481,34,0,1,2,2,2,1,4,3622,1,1,13,3,1,6,3,3,6,5,1,3
483,35,0,25,2,1,2,2,4,3681,4,0,14,3,0,9,3,3,3,2,0,2
484,31,0,6,4,1,4,2,4,5460,4,0,22,4,2,13,4,4,7,7,5,7
485,27,0,6,4,1,2,1,3,2187,0,0,12,3,2,6,5,2,5,3,0,3
486,37,0,2,3,4,3,2,3,9602,4,1,11,3,1,17,3,2,3,0,1,0
487,20,0,1,3,4,2,1,2,2836,1,0,13,3,0,1,0,4,1,0,0,0
488,42,0,2,4,3,3,2,4,4089,1,0,13,3,2,10,4,3,10,2,2,2
489,43,0,6,4,2,2,4,4,16627,4,1,14,3,1,21,3,2,1,0,0,0
490,38,0,1,1,3,3,1,1,2619,3,0,17,3,0,8,3,2,0,0,0,0
491,43,0,9,5,4,3,2,3,5679,3,1,13,3,1,10,3,3,8,7,4,7
492,48,0,1,4,4,2,4,1,15402,7,0,11,3,1,21,3,1,3,2,0,2
493,44,0,1,4,1,2,2,3,5985,4,0,11,3,0,10,1,4,2,2,0,2
494,34,0,14,3,3,3,1,3,2579,1,1,18,3,2,8,3,3,8,2,0,6
496,21,0,22,1,3,3,1,3,3447,1,0,11,3,0,3,2,3,3,2,1,2
497,44,0,3,4,4,3,5,4,19513,4,1,12,3,1,26,2,4,2,2,0,1
498,22,0,6,1,1,3,1,3,2773,0,0,20,4,0,3,3,3,2,2,2,2
499,33,0,8,4,3,3,2,3,7104,0,0,12,3,0,6,3,3,5,0,1,2
500,32,0,9,4,1,3,2,4,6322,1,1,12,3,1,6,2,2,6,4,0,5
501,30,0,3,3,3,3,1,3,2083,1,0,20,4,1,1,2,3,1,0,0,0
502,53,0,1,1,4,3,2,1,8381,7,0,20,4,0,18,2,4,14,7,8,10
503,34,0,1,5,2,3,1,4,2691,1,0,12,3,1,10,4,2,10,9,8,8
505,26,0,6,3,3,3,1,4,2659,1,1,13,3,1,3,2,3,3,2,0,2
506,37,0,3,3,3,3,3,3,9434,1,0,15,3,1,10,2,3,10,7,7,8
507,29,0,3,2,2,3,2,3,5561,1,0,14,3,1,6,5,2,6,0,1,2
508,35,0,6,4,2,1,2,4,6646,1,0,13,3,0,17,3,3,17,11,11,8
509,33,0,6,3,3,3,2,4,7725,3,0,23,4,1,15,2,1,13,11,4,7
510,54,0,19,4,3,3,3,2,10725,2,0,15,3,1,16,1,4,9,7,7,1
511,36,0,9,2,2,2,2,2,8847,2,1,11,3,1,13,2,3,3,2,0,2
512,27,0,3,4,1,2,1,4,2045,0,0,13,3,0,5,0,3,4,2,1,1
515,35,0,3,3,3,2,1,3,1281,1,0,18,3,2,1,3,3,1,0,0,0
516,23,0,4,3,1,4,1,1,2819,2,0,16,3,1,5,3,4,3,2,0,2
517,25,0,8,3,4,4,2,2,4851,0,0,22,4,1,4,4,3,3,2,1,2
518,38,0,7,4,4,2,2,4,4028,0,0,20,4,0,8,2,3,7,7,0,5
519,29,0,1,4,2,1,1,4,2720,1,0,18,3,1,10,5,3,10,7,2,8
520,48,0,2,1,2,4,2,2,8120,3,0,12,3,0,12,3,3,2,2,2,2
521,27,0,3,1,4,4,2,4,4647,1,1,20,4,2,6,3,3,6,5,0,4
522,37,0,10,2,4,4,1,4,4680,3,0,17,3,0,4,2,3,1,0,0,0
523,50,0,28,1,4,4,1,3,3221,1,1,11,3,3,20,3,3,20,8,3,8
524,34,0,9,3,4,2,3,2,8621,1,0,14,3,0,9,3,4,8,7,7,7
526,39,0,2,4,4,2,2,3,4553,1,0,11,3,0,20,4,3,20,7,11,10
527,32,0,10,3,4,3,2,4,5396,1,0,12,3,0,10,2,2,10,7,0,8
529,38,0,1,4,2,4,2,4,7625,0,0,13,3,0,10,4,2,9,7,1,8
530,27,0,1,2,3,3,3,1,7412,1,0,11,3,0,9,3,3,9,7,0,7
531,32,0,3,2,3,3,3,4,11159,3,0,15,3,0,10,6,3,7,7,7,7
532,47,0,14,4,4,3,2,1,4960,2,0,12,3,0,20,2,3,7,7,1,7
533,40,0,5,4,4,2,3,1,10475,5,1,21,4,1,20,2,3,18,13,1,12
534,53,0,7,3,3,4,4,3,14814,3,0,19,3,0,32,3,3,5,1,1,3
535,41,0,10,4,2,2,5,4,19141,3,0,15,3,3,23,2,2,21,6,12,6
536,60,0,16,4,1,3,2,1,5405,8,0,14,3,0,10,1,3,2,2,2,2
537,27,0,10,2,4,3,3,1,8793,1,0,21,4,2,9,4,2,9,7,1,7
538,41,0,1,3,4,2,5,3,19189,1,0,12,3,1,22,3,3,22,7,2,10
539,50,0,8,4,4,3,1,2,3875,7,0,15,3,1,4,2,3,2,2,2,2
541,36,0,8,3,1,4,3,1,11713,9,0,14,3,1,10,2,3,8,7,0,5
542,38,0,1,3,3,3,3,3,7861,4,1,14,3,0,10,4,4,1,0,0,0
543,44,0,24,3,1,1,1,3,3708,2,0,14,3,0,9,5,3,5,2,1,4
544,47,0,3,3,4,3,4,3,13770,9,1,12,3,2,28,2,2,22,2,11,13
545,30,0,27,5,3,3,2,4,5304,7,0,23,4,1,10,2,2,8,7,7,7
546,29,0,10,3,3,3,1,3,2642,1,0,11,3,0,1,6,3,1,0,0,0
548,43,0,15,3,4,2,2,4,6804,3,0,18,3,1,7,5,3,2,2,2,2
549,34,0,8,2,2,3,2,3,6142,3,0,11,3,0,10,2,3,5,1,4,3
550,23,0,9,1,2,3,1,1,2500,1,0,14,3,1,5,2,4,4,3,0,2
551,39,0,3,3,3,4,2,2,6389,9,0,15,3,1,12,3,1,8,3,3,6
552,56,0,9,3,3,3,4,4,11103,7,0,11,3,0,30,1,2,10,7,1,1
553,40,0,2,1,4,2,1,4,2342,0,1,20,4,0,5,2,2,4,2,2,3
554,27,0,7,3,4,2,2,1,6811,8,0,19,3,0,9,2,1,7,6,0,7
555,29,0,10,3,4,3,1,2,2297,1,0,14,3,2,2,2,3,2,2,2,2
556,53,0,6,3,4,3,2,4,2450,2,0,17,3,0,19,4,3,2,2,2,2
557,35,0,2,4,4,3,2,1,5093,2,0,11,3,1,16,2,4,1,0,0,0
558,32,0,24,4,1,3,2,4,5309,1,0,15,3,2,10,2,3,10,8,4,7
559,38,0,2,5,4,3,1,3,3057,6,1,13,3,1,6,0,1,1,0,0,1
560,34,0,8,5,2,3,2,1,5121,3,0,14,3,1,7,3,3,0,0,0,0
561,52,0,3,4,3,2,4,1,16856,1,0,11,3,0,34,3,4,34,6,1,16
563,25,0,26,1,3,3,2,4,6180,1,0,23,4,0,6,5,2,6,5,1,4
564,45,0,2,2,2,1,2,3,6632,0,0,13,3,0,9,3,3,8,7,3,1
565,23,0,10,1,1,4,1,3,3505,1,0,18,3,0,2,3,3,2,2,0,2
567,34,0,2,3,4,3,2,4,6274,1,0,22,4,0,6,5,3,6,5,1,4
569,36,0,8,4,1,2,3,1,7587,1,0,15,3,0,10,1,3,10,7,0,9
570,52,0,19,4,4,3,1,4,4258,0,0,18,3,1,5,3,3,4,3,1,2
571,26,0,1,2,1,1,1,4,4364,3,0,14,3,1,5,2,3,2,2,2,0
572,29,0,27,3,2,3,2,3,4335,4,0,12,3,1,11,3,2,8,7,1,1
574,34,0,1,4,2,4,1,4,3280,2,0,16,3,0,10,2,3,4,2,1,3
575,54,0,19,4,4,3,2,1,5485,9,1,11,3,2,9,4,3,5,3,1,4
576,27,0,8,1,3,3,2,4,4342,0,0,19,3,1,5,3,3,4,2,1,1
577,37,0,10,1,4,3,1,1,2782,0,1,13,3,2,6,3,2,5,3,4,3
578,38,0,2,4,1,4,2,1,5980,6,1,12,3,0,17,2,3,15,7,4,12
579,34,0,2,4,3,2,1,1,4381,1,0,11,3,0,6,3,3,6,5,1,3
580,35,0,8,4,1,3,1,4,2572,1,0,16,3,1,3,1,2,3,2,0,2
581,30,0,1,3,4,1,1,3,3833,3,0,21,4,2,7,2,3,2,2,0,2
582,40,0,2,2,3,4,2,2,4244,1,0,24,4,1,8,2,3,8,7,3,7
583,34,0,8,2,3,3,2,1,6500,5,0,17,3,1,6,1,3,3,2,1,2
584,42,0,8,3,2,3,5,4,18430,1,0,13,3,1,24,4,2,24,7,14,9
586,24,0,9,3,3,2,1,2,2694,1,0,11,3,3,1,4,3,1,0,0,0
587,52,0,11,4,4,3,2,3,3149,8,0,20,4,1,9,3,3,5,2,1,4
588,50,0,2,3,3,3,4,3,17639,5,0,16,3,0,30,3,3,4,3,0,3
590,33,0,7,3,3,3,3,3,11691,0,0,11,3,0,14,3,4,13,9,3,7
592,47,0,2,2,3,3,4,4,16752,1,1,11,3,1,26,3,2,26,14,3,0
593,36,0,1,3,3,3,2,2,5228,0,0,15,3,1,10,2,3,9,7,0,5
594,29,0,23,2,3,4,1,3,2700,1,0,24,4,1,10,3,3,10,7,0,7
596,35,0,1,4,4,4,1,3,2506,3,0,13,3,0,7,0,3,2,2,2,2
597,42,0,1,2,4,2,2,4,6062,9,1,13,3,1,8,4,3,4,3,0,2
599,36,0,13,3,3,3,1,2,2143,4,0,13,3,1,8,2,3,5,2,0,4
600,32,0,4,3,3,2,2,3,6162,1,0,12,3,1,14,3,3,14,13,6,8
601,40,0,16,4,1,2,2,3,5094,6,0,14,3,0,10,6,3,1,0,0,0
602,30,0,2,3,3,2,2,4,6877,5,1,24,4,0,12,4,2,0,0,0,0
603,45,0,2,3,2,2,1,3,2274,1,0,14,3,0,1,3,3,1,0,0,0
604,42,0,29,3,2,3,2,2,4434,1,0,13,3,1,10,3,2,9,8,7,8
605,38,0,12,3,1,2,2,1,6288,2,0,15,3,1,13,3,2,4,3,1,2
606,34,0,16,4,3,2,1,4,2553,1,0,16,3,0,6,3,3,5,2,1,3
609,43,0,14,2,2,3,4,1,17159,6,0,24,4,1,22,3,3,4,1,1,0
610,27,0,5,1,3,2,3,4,12808,1,1,16,3,1,9,3,3,9,8,0,8
611,35,0,7,3,3,3,3,3,10221,3,0,21,4,0,17,3,4,8,5,1,6
612,28,0,2,4,2,3,2,2,4779,1,1,20,4,0,8,2,3,8,7,7,5
613,34,0,3,2,3,3,1,4,3737,0,0,19,3,1,4,1,1,3,2,0,2
615,27,0,3,3,4,3,1,4,1706,1,0,11,3,3,0,6,2,0,0,0,0
616,51,0,26,4,1,3,4,3,16307,2,0,14,3,1,29,2,2,20,6,4,17
617,44,0,4,3,4,3,2,2,5933,9,0,12,3,0,10,2,2,5,2,2,3
618,25,0,2,1,1,4,1,1,3424,7,0,13,3,0,6,3,2,4,3,0,1
619,33,0,1,3,1,4,2,1,4037,1,0,22,4,1,9,5,3,9,8,0,8
620,35,0,27,1,3,2,1,1,2559,1,0,11,3,0,6,3,2,6,5,1,1
621,36,0,1,2,2,3,2,4,6201,1,1,14,3,1,18,1,2,18,14,4,11
622,32,0,13,4,2,3,2,4,4403,2,0,11,3,1,8,3,2,5,2,0,3
623,30,0,5,4,2,2,1,4,3761,9,0,12,3,1,10,3,2,5,4,0,3
624,53,0,7,2,1,2,3,4,10934,7,1,18,3,1,35,3,3,5,2,0,4
625,45,0,9,3,4,3,3,1,10761,4,1,12,3,1,18,2,3,5,4,0,2
626,32,0,8,2,3,4,2,3,5175,5,0,12,3,1,9,3,2,5,3,1,3
627,52,0,25,4,3,2,4,4,13826,3,0,22,4,0,31,3,3,9,8,0,0
628,37,0,16,4,4,2,2,3,6334,4,0,19,3,2,9,2,3,1,0,0,0
629,28,0,8,2,2,2,1,4,4936,1,0,13,3,1,6,6,3,5,1,0,4
630,22,0,1,2,4,2,2,4,4775,6,0,22,4,2,4,2,1,2,2,2,2
631,44,0,8,4,1,4,1,4,2818,2,1,24,4,1,10,2,2,3,2,0,2
632,42,0,2,1,2,3,1,4,2515,5,1,14,3,0,8,2,3,2,1,2,2
633,36,0,8,3,1,2,1,1,2342,0,0,21,4,0,6,3,3,5,4,0,3
634,25,0,3,1,3,3,2,1,4194,1,1,18,3,0,5,3,3,5,3,0,3
635,35,0,9,3,4,2,3,3,10685,1,1,20,4,1,17,2,3,17,14,5,15
637,32,0,1,3,4,3,1,4,2314,0,0,12,3,1,4,2,3,3,0,0,2
638,25,0,4,1,3,2,2,1,4256,1,0,12,3,0,5,1,4,5,2,0,3
639,49,0,1,3,3,3,1,1,3580,2,0,16,3,1,7,2,3,4,2,0,2
640,24,0,4,1,1,2,1,4,3162,0,0,17,3,0,6,2,2,5,2,3,4
641,32,0,5,2,2,3,2,2,6524,1,0,14,3,1,10,3,3,10,8,5,3
642,38,0,9,3,2,2,1,2,2899,0,0,19,3,1,3,3,3,2,2,1,2
643,42,0,3,3,3,4,2,4,5231,2,1,13,3,1,17,1,2,5,3,1,3
644,31,0,11,4,4,3,1,4,2356,3,1,19,3,1,8,2,3,6,4,0,2
646,53,0,8,3,1,3,4,4,11836,5,0,14,3,1,28,3,3,2,0,2,2
647,35,0,25,3,4,2,3,2,10903,3,0,16,3,0,16,2,3,13,10,4,8
648,37,0,21,2,3,3,1,4,2973,5,0,15,3,1,10,3,3,5,4,0,0
649,53,0,23,4,4,3,4,4,14275,6,0,18,3,0,33,0,3,12,9,3,8
650,43,0,1,3,4,3,2,4,5562,4,0,13,3,1,12,2,2,5,2,2,2
651,47,0,2,2,3,3,2,4,4537,0,1,22,4,1,8,2,3,7,6,7,7
652,37,0,19,2,1,3,3,2,7642,1,1,13,3,0,10,2,3,10,0,0,9
653,50,0,2,4,1,3,4,1,17924,1,0,11,3,1,31,3,3,31,6,14,7
654,39,0,2,3,4,2,2,4,5204,8,0,11,3,2,13,2,3,5,4,0,4
655,33,0,3,2,4,3,1,2,2277,3,1,11,3,1,7,4,4,4,3,0,3
657,29,0,7,1,1,2,1,4,2532,6,0,14,3,3,8,5,3,4,3,0,3
658,44,0,9,2,2,3,1,1,2559,1,1,13,3,0,8,0,3,8,7,7,1
659,28,0,5,4,1,3,2,4,4908,1,0,14,3,0,4,3,3,4,2,0,2
661,43,0,8,3,1,3,2,2,4765,4,0,21,4,1,4,2,4,1,0,0,0
664,36,0,14,1,3,3,2,4,6586,0,1,17,3,1,17,2,2,16,8,4,11
665,47,0,2,4,4,2,1,4,3294,1,1,18,3,0,3,3,2,3,2,1,2
668,28,0,9,3,3,3,1,3,2377,5,0,18,3,1,6,2,3,2,2,2,2
670,27,0,4,3,2,3,1,3,2318,1,0,19,3,0,1,2,3,1,1,0,0
671,34,0,10,3,2,3,1,2,2008,1,0,14,3,2,1,3,3,1,0,1,0
672,42,0,14,2,3,2,2,3,6244,7,0,17,3,0,10,6,3,5,4,0,3
673,33,0,1,4,3,2,1,1,2799,3,1,11,3,0,6,1,3,3,2,0,2
674,58,0,5,3,3,2,3,2,10552,2,1,13,3,1,24,3,3,6,0,0,4
675,31,0,7,4,2,2,1,3,2329,3,0,15,3,0,13,2,4,7,7,5,2
676,35,0,21,1,4,3,2,4,4014,1,1,25,4,1,10,2,1,10,6,0,7
677,49,0,8,2,1,3,3,2,7403,4,0,11,3,1,29,3,2,26,9,1,7
678,48,0,20,4,4,3,1,3,2259,4,0,17,3,2,13,2,2,0,0,0,0
679,31,0,20,2,4,3,2,3,6932,1,0,13,3,1,9,2,2,9,8,0,0
680,36,0,7,4,2,3,1,4,4678,2,0,18,3,0,8,6,3,6,2,0,1
681,38,0,1,3,4,3,3,1,13582,1,0,13,3,1,15,3,3,15,12,5,11
682,32,0,1,3,3,2,1,2,2332,6,0,20,4,0,5,3,3,3,0,0,2
684,40,0,10,4,1,2,3,2,9705,2,0,12,3,1,11,2,2,1,0,0,0
685,26,0,1,3,3,2,2,1,4294,1,0,12,3,0,7,2,3,7,7,0,7
686,41,0,6,3,4,3,1,1,4721,2,1,13,3,0,20,3,3,18,13,2,17
687,36,0,2,4,3,3,1,3,2519,4,0,21,4,0,16,6,3,11,8,3,9
690,31,0,12,3,4,3,2,4,5855,0,1,11,3,2,10,2,1,9,7,8,5
691,40,0,9,4,4,3,1,2,3617,8,1,14,3,1,3,2,3,1,1,0,0
692,32,0,3,4,3,3,2,1,6725,1,0,12,3,1,8,2,4,8,7,6,3
694,33,0,1,3,2,2,2,4,6949,0,0,14,3,0,6,3,3,5,0,1,4
696,45,0,4,2,3,3,2,2,4447,1,0,12,3,0,9,5,2,9,7,0,8
697,29,0,20,3,3,3,1,4,2157,1,0,15,3,1,3,5,3,3,1,0,2
698,35,0,18,3,3,3,2,3,4601,1,0,16,3,0,5,3,3,5,2,1,0
699,52,0,1,2,4,3,4,4,17099,2,0,15,3,1,26,2,2,9,8,7,8
701,53,0,2,2,3,3,4,3,14852,6,0,13,3,1,22,3,4,17,13,15,2
702,30,0,8,2,3,3,3,3,7264,5,0,11,3,1,10,2,4,8,4,7,7
703,38,0,10,3,3,3,2,4,5666,1,1,13,3,0,6,1,3,5,3,1,3
704,35,0,3,4,4,3,3,4,7823,6,0,13,3,1,12,2,3,10,9,0,8
705,39,0,2,5,1,4,3,3,7880,0,0,18,3,0,9,3,3,8,7,0,7
707,47,0,16,4,3,4,2,3,5067,1,1,19,3,0,20,3,4,19,10,2,7
708,36,0,8,4,1,3,2,4,5079,4,0,13,3,2,12,3,3,7,7,0,7
710,33,0,17,3,4,3,4,3,17444,1,0,11,3,0,10,2,3,10,8,6,0
712,33,0,13,1,2,3,1,4,3452,3,0,18,3,0,5,4,3,3,2,0,2
713,45,0,1,4,4,3,1,4,2270,3,0,14,3,2,8,2,3,5,3,0,2
714,50,0,1,2,4,3,4,4,17399,9,0,22,4,1,32,1,2,5,4,1,3
715,33,0,1,4,3,4,2,2,5488,1,1,13,3,1,6,2,3,6,5,1,2
716,41,0,9,3,1,3,5,3,19419,2,0,17,3,1,21,2,4,18,16,0,11
717,27,0,16,4,3,3,1,2,2811,9,0,14,3,1,4,2,3,2,2,2,2
718,45,0,23,2,4,3,2,1,3633,1,1,15,3,1,9,2,3,9,8,0,8
719,47,0,4,2,4,3,2,4,4163,1,1,17,3,0,9,0,3,9,0,0,7
721,50,0,24,3,4,3,4,3,13973,3,1,18,3,1,22,2,3,12,11,1,5
722,38,0,10,1,3,3,1,3,2684,0,0,17,3,1,3,0,2,2,1,0,2
723,46,0,7,2,4,3,3,3,10845,6,0,13,3,1,13,3,3,8,7,0,7
724,24,0,17,1,4,2,2,3,4377,1,0,15,3,2,5,6,3,4,2,3,2
